Laporan / Curhatan,Masuk Pasal,Tidak Masuk Pasal
"Pak A sering pegang pegang tangan, kadang pegang paha",1,0
lama lama dia tarik tanganku baru baring di pangkuanku,1,0
pake jilbab syar'i dan gapernah sentuhan sama lawan jenis ,0,1
"saya ditarik"" hampir masuk di ruangannya dosen tersebut",1,0
saat mengajar dia mendekati teman saya dengan sengaja mendekatkan wajahnya dari belakang ,1,0
"aku dihamili anggota BIN, dipaksa aborsi minum misoprostol, ditinggalin di hotel sendirian dalam keadaan pendarahan dan lemah selama 3 hari, aku harus operasi kuret karena janin bayinya masih ada",1,0
"vagina ku dia remas baru dia tarik tangannya dan dia cium, baru dia pegang erat tanganku suruh pegang kontolnya.",1,0
"ternyata konsul selanjutnya dia buka bajuku dari belakang, dia lepas BH ku baru remas payudara kiriku. ",1,0
Baru dia angkat rok ku sampai pangkal paha jadi telanjang setengah,1,0
saya pernah di raba sampai masuk di bajuku dan pegang payudara ku,1,0
saya coba untuk teriak tapi tidak ada yang dengar saya,0,1
dia suruh saya pegang itu kelaminnya,1,0
"Dia ngirim foto Friska tanpa busana, kepalanya berdarah dan ditangannya banyak luka2 sayatan.",1,0
"dia di lecehin, digilir satu-satu, tangannya di silet, kepalanya di pukul pake balok kayu.",1,0
"si S punya foto korban yang sedang mandi n di intip trus di foto, diancam akan disebarluaskan kalau dia gak ngasih yang di minta si S ini, trus ngancam gak di kasih duit, ngancam diperkosa",1,0
disuruh vc dan d suruh kirim video tanpa baju,1,0
"Dosen itu seringkali mengirimkan chat tak senonoh kepadanya. Seperti ""Mau bercinta?"", ""andai saya belum punya istri, saya mau nikahin kamu"".",1,0
"""Yang ini loh sayang"" Ucap dosen tersebut disela-sela bimbingan. Ia langsung merasa was-was. Dosen itu semakin berani bahkan tangan dosen itu sudah menyentuh pipinya",1,0
Ia baru saja ingin berontak namun dosen itu dengan gerakan cepat menciumnya.,1,0
"Ia dengan sigap mengambil laptopnya di meja dan melangkah keluar. Baru beberapa langkah, dosen itu ternyata menarik roknya",1,0
"tiba tiba si pelaku ini tuh naik ke lantai 2 tempat kakakku sambil bawa karung dan bilang ke kakakku mau numpang tidur, dijawab lah cuma sama kakakku ""hmm""",0,1
setelah ngomong gitu dia ngunci badan kakakku dengan peluk kakakku dari belakang (btw posisi dia dari awal minta minyak angin udah di belakang kakakku) sambil remes remes payudara kakakku. kakakku panik bangett shock membeku seketika.,1,0
"pas malem saya tidur, dia masuk ke kamar dan menggerayangi tubuh bagian bawah saya. dia nyoba ngebuka celana tidur panjang saya",1,0
"saudara saya sebut saja V menginap di rumah dia. Pas malem, dia masuk ke kamar dan meraba kemaluan V. setelah ketauan, dia beralasan sedang mencari sesuatu",1,0
dia ini juga sering ngintipin orang-orang yang lagi mandi di rumahnya,1,0
"Pengen jilat memeknya, plus remes nenennya sampai keluar susu terus diminum",1,0
"dia sering masukkan kakinya ke dalam rok, terus di elus elus betis pake kakinya",1,0
"Biasanya juga sementara duduk , dia langsung pegang paha atau pegang pipi",1,0
hari itu saya ikut sebuah acara di perkemahan sebagai salah satu panitia,0,1
saya duduk di samping dia dan kami ngobrol soal hal-hal biasa,0,1
"tiba tiba dia bilang ""dingin ya"" dan langsung memasukkan tangannya ke arah dada saya",1,0
"""kalau mau ga gua gangguin, cium gua dulu""",1,0
cowo gue ngamncem untuk nyebarin foto/video dewasa gue,1,0
hotelnya sebetulnya mereka keren dan comfy.,0,1
Gue tidur di Pod nomor 51 abis sahur lanjut tidur dan kebangun sekitar jam 9 buat lanjut ngerjain urusan kerjaan sebentar lalu menuju ke kamar mandi buat mandi bersiap berangkat ke kantor.,0,1
Langsung gue sampai situ masuk ke bilik tengah/kedua dan mulai buka baju full + nyalain shower,0,1
